id_registro,flor,id_cinetica,compuesto,T_C,relacion,disolvente,tiempo_min,A_band1,A_band2,A_band3,conc_band1,conc_band2,conc_band3,conc_promedio,metrica_conc
1,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,15,0.002,0.008,0.004,0.333680297,1.33472119,0.667360595,0.778587361,mg/L
2,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,30,0.009,0.014,0.014,1.501561338,2.335762082,2.335762082,2.057695167,mg/L
3,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,60,0.015,0.01,0.015,2.50260223,1.668401487,2.50260223,2.224535316,mg/L
4,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,90,0.014,0.018,0.013,2.335762082,3.003122677,2.168921933,2.50260223,mg/L
5,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,120,0.014,0.003,0.016,2.335762082,0.500520446,2.669442379,1.835241636,mg/L
6,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,150,0.015,0.013,0.01,2.50260223,2.168921933,1.668401487,2.11330855,mg/L
7,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,180,0.02,0.007,0.013,3.336802974,1.167881041,2.168921933,2.224535316,mg/L
8,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,210,0.016,0.007,0.015,2.669442379,1.167881041,2.50260223,2.11330855,mg/L
9,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,240,0.014,0.017,0.007,2.335762082,2.836282528,1.167881041,2.11330855,mg/L
10,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,270,0.01,0.012,0.012,1.668401487,2.002081784,2.002081784,1.890855019,mg/L
11,Clitoria_ternatea,1,Antocianinas ,60,1_30,Agua75_ETA25,300,0.012,0.009,0.006,2.002081784,1.501561338,1.001040892,1.501561338,mg/L
12,Clitoria_ternatea,2,Antocianinas ,75,1_30,Agua75_ETA25,15,0.01,0.017,0.01,1.668401487,2.836282528,1.668401487,2.057695167,mg/L
13,Clitoria_ternatea,2,Antocianinas ,75,1_30,Agua75_ETA25,30,0.021,0.015,0.016,3.503643123,2.50260223,2.669442379,2.891895911,mg/L
14,Clitoria_ternatea,2,Antocianinas ,75,1_30,Agua75_ETA25,60,0.016,0.012,0.006,2.669442379,2.002081784,1.001040892,1.890855019,mg/L
15,Clitoria_ternatea,2,Antocianinas ,75,1_30,Agua75_ETA25,90,0.014,0.019,0.015,2.335762082,3.169962825,2.50260223,2.669442379,mg/L
16,Clitoria_ternatea,2,Antocianinas ,75,1_30,Agua75_ETA25,120,0.016,0.027,0.02,2.669442379,4.504684015,3.336802974,3.503643123,mg/L
