T_C,solvent,ratio,k_ext_GP_mean,k_ext_GP_std,CI95_low,CI95_high
60.0,Agua100,1_10,0.0383,0.0287,-0.0179,0.0946
60.0,Agua100,1_20,0.0171,0.026,-0.0339,0.068
60.0,Agua100,1_30,0.0028,0.0293,-0.0547,0.0604
60.0,Agua50_ETA50,1_10,0.1204,0.0568,0.0091,0.2318
60.0,Agua50_ETA50,1_20,0.1184,0.0571,0.0065,0.2304
60.0,Agua50_ETA50,1_30,0.1141,0.0595,-0.0024,0.2307
60.0,Agua75_ETA25,1_10,0.1009,0.0264,0.0492,0.1526
60.0,Agua75_ETA25,1_20,0.0891,0.0277,0.0349,0.1433
60.0,Agua75_ETA25,1_30,0.0777,0.0352,0.0087,0.1468
67.5,Agua100,1_10,0.0735,0.0263,0.022,0.125
67.5,Agua100,1_20,0.0506,0.0244,0.0029,0.0983
67.5,Agua100,1_30,0.0318,0.0263,-0.0197,0.0834
67.5,Agua50_ETA50,1_10,0.1406,0.0562,0.0305,0.2508
67.5,Agua50_ETA50,1_20,0.1381,0.0559,0.0285,0.2477
67.5,Agua50_ETA50,1_30,0.1315,0.0578,0.0182,0.2448
67.5,Agua75_ETA25,1_10,0.1401,0.0247,0.0917,0.1885
67.5,Agua75_ETA25,1_20,0.1269,0.0235,0.0808,0.1729
67.5,Agua75_ETA25,1_30,0.1108,0.0298,0.0525,0.1692
75.0,Agua100,1_10,0.1083,0.0352,0.0394,0.1772
75.0,Agua100,1_20,0.0881,0.0345,0.0205,0.1558
75.0,Agua100,1_30,0.0687,0.0364,-0.0026,0.1401
75.0,Agua50_ETA50,1_10,0.1511,0.0571,0.0392,0.263
75.0,Agua50_ETA50,1_20,0.1484,0.0573,0.036,0.2608
75.0,Agua50_ETA50,1_30,0.1408,0.0596,0.024,0.2576
75.0,Agua75_ETA25,1_10,0.1679,0.0265,0.116,0.2198
75.0,Agua75_ETA25,1_20,0.1557,0.028,0.1008,0.2106
75.0,Agua75_ETA25,1_30,0.1382,0.0356,0.0684,0.208
